ESTACION,Año-trimestre,GENERO,Conteo,Edad,Sobrevivencia,Elevado,EscuchaderoD,Joven
ACEVEDO,1998-2,F,1,15,1,0,0,1
ACEVEDO,1998-2,M,1,null,1,0,0,null
ACEVEDO,2003-3,M,1,null,1,0,0,null
ACEVEDO,2004-4,M,1,null,1,0,0,null
ACEVEDO,2005-2,M,2,30,1,0,0,0
ACEVEDO,2005-3,F,2,null,1,0,0,null
ACEVEDO,2005-4,F,2,24,1,0,0,1
ACEVEDO,2006-2,F,1,24,1,0,0,1
ACEVEDO,2006-2,M,1,25,1,0,0,1
ACEVEDO,2006-4,M,1,19,1,0,0,1
ACEVEDO,2007-1,F,1,19,1,0,0,1
ACEVEDO,2007-3,M,1,22,1,0,0,1
ACEVEDO,2007-3,F,1,45,1,0,0,0
ACEVEDO,2007-4,F,1,37,1,0,0,0
ACEVEDO,2008-2,F,1,18,1,0,0,1
ACEVEDO,2008-4,M,1,43,1,0,0,0
ACEVEDO,2009-1,M,1,22,1,0,0,1
ACEVEDO,2009-4,F,1,48,1,0,0,0
ACEVEDO,2010-1,F,1,30,1,0,0,0
ACEVEDO,2010-3,F,1,25,1,0,0,1
ACEVEDO,2011-3,M,1,27,1,0,0,1
ACEVEDO,2011-3,F,1,20,1,0,0,1
ACEVEDO,2011-4,M,1,22,1,0,0,1
ACEVEDO,2012-2,M,1,27,1,0,0,1
ACEVEDO,2012-2,F,1,27,1,0,0,1
ACEVEDO,2012-3,M,1,15,1,0,0,1
ACEVEDO,2013-2,F,1,45,1,0,0,0
ACEVEDO,2013-2,M,1,25,1,0,0,1
ACEVEDO,2013-3,M,1,24,1,0,0,1
ACEVEDO,2013-4,M,1,21,1,0,0,1
ACEVEDO,2013-4,F,1,null,1,0,0,null
ACEVEDO,2014-1,M,1,17,1,0,0,1
ACEVEDO,2014-4,M,2,26,1,0,0,1
ACEVEDO,2015-4,M,1,20,1,0,0,1
ACEVEDO,2015-4,F,1,24,1,0,0,1
ACEVEDO,2016-1,M,1,33,1,0,0,0
ACEVEDO,2016-3,F,1,25,1,0,0,1
ACEVEDO,2016-3,M,1,16,1,0,0,1
ACEVEDO,2016-4,M,1,35,1,0,0,0
ACEVEDO,2017-3,M,2,38.5,1,0,0,0
ACEVEDO,2018-1,M,1,27,1,0,0,1
ACEVEDO,2018-4,F,1,22,1,0,0,1
ACEVEDO,2019-1,M,1,30,1,0,0,0
ACEVEDO,2019-2,F,1,38,1,0,0,0
ACEVEDO,2019-3,F,1,30,1,0,0,0
ACEVEDO,2019-4,M,2,35.5,1,0,0,0.5
ACEVEDO,2020-4,F,1,32,1,0,0,0
ACEVEDO,2020-4,M,1,36,1,0,0,0
ACEVEDO,2021-2,M,1,39,1,0,0,0
ACEVEDO,2021-4,M,1,19,1,0,0,1
ACEVEDO,2022-1,F,1,55,1,0,0,0
ACEVEDO,2022-1,M,1,27,1,0,0,1
ACEVEDO,2022-2,F,1,24,1,0,0,1
ACEVEDO,2022-2,M,1,36,1,0,0,0
ACEVEDO,2022-3,F,2,45.5,1,0,1,0
ACEVEDO,2023-3,M,1,26,1,0,1,1
ACEVEDO,2023-3,F,1,50,1,0,1,0
AGUACATALA,2005-2,F,1,28,1,0,0,1
AGUACATALA,2005-3,M,1,65,1,0,0,0
AGUACATALA,2005-4,M,1,null,1,0,0,null
AGUACATALA,2006-2,M,1,33,1,0,0,0
AGUACATALA,2007-4,M,1,null,1,0,0,null
AGUACATALA,2008-1,F,1,49,1,0,0,0
AGUACATALA,2009-4,F,1,34,1,0,0,0
AGUACATALA,2011-3,F,1,35,1,0,0,0
AGUACATALA,2012-1,F,1,44,1,0,0,0
AGUACATALA,2012-3,F,1,34,1,0,0,0
AGUACATALA,2012-4,M,1,26,1,0,0,1
AGUACATALA,2013-3,M,1,21,1,0,0,1
AGUACATALA,2015-2,F,1,40,1,0,0,0
AGUACATALA,2015-4,M,1,22,1,0,0,1
AGUACATALA,2015-4,F,1,45,1,0,0,0
AGUACATALA,2016-2,F,1,34,1,0,0,0
AGUACATALA,2016-4,M,2,43.5,1,0,0,0.5
AGUACATALA,2016-4,F,1,41,1,0,0,0
AGUACATALA,2017-1,F,2,31,1,0,0,0
AGUACATALA,2017-3,M,1,20,1,0,0,1
AGUACATALA,2017-4,F,1,35,1,0,0,0
AGUACATALA,2019-1,F,1,24,1,0,0,1
AGUACATALA,2019-2,M,2,18,1,0,0,1
AGUACATALA,2019-2,F,2,36,1,0,0,0.5
AGUACATALA,2019-4,F,1,20,1,0,0,1
AGUACATALA,2020-1,M,2,32,1,0,0,0.5
AGUACATALA,2020-4,M,1,29,1,0,0,1
AGUACATALA,2022-2,M,3,26.666666666666668,1,0,0,0.6666666666666666
AGUACATALA,2022-3,F,1,37,1,0,0,0
AGUACATALA,2022-4,M,3,21,1,0,0,1
AGUACATALA,2023-1,M,2,20.5,1,0,0,1
AGUACATALA,2023-2,M,1,20,1,0,0,1
AGUACATALA,2023-2,F,1,30,1,0,0,0
ALPUJARRA,2005-3,F,1,27,1,1,0,1
ALPUJARRA,2006-2,F,2,51,1,1,0,0
ALPUJARRA,2007-2,M,1,45,1,1,0,0
ALPUJARRA,2007-3,F,1,29,1,1,0,1
ALPUJARRA,2007-4,M,1,32,1,1,0,0
ALPUJARRA,2009-2,F,1,50,1,1,0,0
ALPUJARRA,2011-2,M,1,28,1,1,0,1
ALPUJARRA,2011-3,M,1,40,1,1,0,0
ALPUJARRA,2012-1,M,1,null,1,1,0,null
ALPUJARRA,2013-2,M,1,33,1,1,0,0
ALPUJARRA,2013-3,F,1,28,1,1,0,1
ALPUJARRA,2013-4,M,1,null,1,1,0,null
ALPUJARRA,2015-4,M,1,54,1,1,0,0
ALPUJARRA,2016-2,M,1,50,1,1,0,0
ALPUJARRA,2017-4,M,1,20,1,1,0,1
ALPUJARRA,2018-1,F,1,13,1,1,0,1
ALPUJARRA,2018-2,M,1,43,1,1,0,0
ALPUJARRA,2018-3,M,1,27,1,1,0,1
ALPUJARRA,2019-2,M,1,19,1,1,0,1
ALPUJARRA,2021-2,F,1,30,1,1,0,0
ALPUJARRA,2021-4,F,1,38,1,1,0,0
ALPUJARRA,2021-4,M,1,20,1,1,0,1
ALPUJARRA,2022-1,M,1,null,1,1,0,null
ALPUJARRA,2022-2,M,2,38.5,1,1,0,0
ALPUJARRA,2022-4,M,1,23,1,1,0,1
ALPUJARRA,2023-2,M,2,36.5,1,1,0,0.5
AYURA,2005-4,F,1,null,1,0,0,null
AYURA,2006-1,M,1,32,1,0,0,0
AYURA,2006-2,M,1,28,1,0,0,1
AYURA,2007-2,M,1,48,1,0,0,0
AYURA,2007-4,F,2,36,1,0,0,0
AYURA,2010-2,F,2,50.5,1,0,0,0
AYURA,2010-4,F,2,38.5,1,0,0,0
AYURA,2010-4,M,1,33,1,0,0,0
AYURA,2011-1,M,1,25,1,0,0,1
AYURA,2016-2,F,1,25,1,0,0,1
AYURA,2016-3,F,1,44,1,0,0,0
AYURA,2016-3,M,1,46,1,0,0,0
AYURA,2018-1,M,1,30,1,0,0,0
AYURA,2018-2,F,1,38,1,0,0,0
AYURA,2019-3,M,1,18,1,0,0,1
AYURA,2019-3,F,1,36,1,0,0,0
AYURA,2019-4,F,1,42,1,0,0,0
AYURA,2021-1,M,1,42,1,0,0,0
AYURA,2021-2,M,1,57,1,0,0,0
AYURA,2021-3,F,1,45,1,0,0,0
AYURA,2021-4,M,1,20,1,0,0,1
AYURA,2022-4,M,1,21,1,0,0,1
AYURA,2023-1,M,1,22,1,0,0,1
BELLO,2005-2,M,1,null,1,1,0,null
BELLO,2005-3,M,1,17,1,1,0,1
BELLO,2005-4,M,2,28,1,1,0,1
BELLO,2006-2,M,1,49,1,1,0,0
BELLO,2006-2,F,1,27,1,1,0,1
BELLO,2007-4,F,1,33,1,1,0,0
BELLO,2007-4,M,1,44,1,1,0,0
BELLO,2008-3,M,1,22,1,1,0,1
BELLO,2008-4,F,1,19,1,1,0,1
BELLO,2009-1,M,1,43,1,1,0,0
BELLO,2009-4,F,1,22,1,1,0,1
BELLO,2010-2,M,1,34,1,1,0,0
BELLO,2010-3,M,1,50,1,1,0,0
BELLO,2010-3,F,1,18,1,1,0,1
BELLO,2013-2,M,2,32.5,1,1,0,0.5
BELLO,2015-3,F,1,18,1,1,0,1
BELLO,2016-2,F,1,53,1,1,0,0
BELLO,2017-2,M,1,53,1,1,0,0
BELLO,2017-4,F,1,30,1,1,0,0
BELLO,2018-1,M,2,41,1,1,0,0.5
BELLO,2019-2,M,1,28,1,1,0,1
BELLO,2019-3,M,1,27,1,1,0,1
BELLO,2022-1,M,4,26.25,1,1,0,0.75
BELLO,2022-1,F,1,17,1,1,0,1
BELLO,2022-3,M,1,75,1,1,0,0
BELLO,2022-4,M,4,41.75,1,1,0,0.25
BELLO,2023-1,M,1,56,1,1,0,0
BELLO,2023-1,F,2,30,1,1,0,0.5
BELLO,2023-2,M,1,19,1,1,0,1
BELLO,2023-3,M,1,37,1,1,0,0
CARIBE,2000-2,M,1,24,1,0,0,1
CARIBE,2002-3,M,1,null,1,0,0,null
CARIBE,2004-3,F,1,30,1,0,0,0
CARIBE,2005-3,M,1,null,1,0,0,null
CARIBE,2005-3,F,2,35,1,0,0,0.5
CARIBE,2006-2,F,1,20,1,0,0,1
CARIBE,2006-3,M,3,27,1,0,0,0.6666666666666666
CARIBE,2006-3,F,1,null,1,0,0,null
CARIBE,2006-4,F,2,32,1,0,0,0.5
CARIBE,2006-4,M,2,40.5,1,0,0,0
CARIBE,2007-1,F,1,17,1,0,0,1
CARIBE,2007-2,M,1,28,1,0,0,1
CARIBE,2007-4,M,1,null,1,0,0,null
CARIBE,2008-2,M,1,33,1,0,0,0
CARIBE,2008-4,F,1,33,1,0,0,0
CARIBE,2009-2,F,2,48.5,1,0,0,0
CARIBE,2009-2,M,1,20,1,0,0,1
CARIBE,2009-3,M,1,38,1,0,0,0
CARIBE,2010-2,M,1,26,1,0,0,1
CARIBE,2011-2,M,1,34,1,0,0,0
CARIBE,2011-3,M,1,60,1,0,0,0
CARIBE,2011-4,M,1,55,1,0,0,0
CARIBE,2012-4,M,1,42,1,0,0,0
CARIBE,2013-3,M,2,48,1,0,0,0
CARIBE,2013-3,F,1,16,1,0,0,1
CARIBE,2013-4,M,1,82,1,0,0,0
CARIBE,2014-1,M,1,31,1,0,0,0
CARIBE,2014-3,F,1,18,1,0,0,1
CARIBE,2015-4,M,2,36,1,0,0,0
CARIBE,2015-4,F,1,66,1,0,0,0
CARIBE,2016-1,F,1,53,1,0,0,0
CARIBE,2016-1,M,2,29.5,1,0,0,0.5
CARIBE,2016-2,M,1,71,1,0,0,0
CARIBE,2016-4,F,1,35,1,0,0,0
CARIBE,2017-1,M,2,37.5,1,0,0,0
CARIBE,2017-2,F,1,22,1,0,0,1
CARIBE,2017-4,F,1,42,1,0,0,0
CARIBE,2017-4,M,1,55,1,0,0,0
CARIBE,2018-2,M,1,21,1,0,0,1
CARIBE,2018-2,F,1,40,1,0,0,0
CARIBE,2018-4,M,1,51,1,0,0,0
CARIBE,2019-1,F,1,55,1,0,0,0
CARIBE,2019-2,M,1,29,1,0,0,1
CARIBE,2019-3,F,1,17,1,0,0,1
CARIBE,2019-3,M,1,42,1,0,0,0
CARIBE,2020-4,F,1,57,1,0,0,0
CARIBE,2021-1,F,1,41,1,0,0,0
CARIBE,2021-3,F,1,20,1,0,0,1
CARIBE,2021-4,M,1,30,1,0,0,0
CARIBE,2022-3,F,4,41,1,0,0,0.5
CARIBE,2022-4,F,1,18,1,0,0,1
CARIBE,2023-4,F,1,null,1,0,0,null
CARIBE,2023-4,M,1,19,1,0,0,1
ENVIGADO,1998-1,M,1,46,1,0,0,0
ENVIGADO,2003-3,F,1,null,1,0,0,null
ENVIGADO,2004-1,M,1,null,1,0,0,null
ENVIGADO,2005-2,M,2,19.5,1,0,0,0.5
ENVIGADO,2005-2,F,1,5,1,0,0,1
ENVIGADO,2005-3,M,1,38,1,0,0,0
ENVIGADO,2005-4,F,2,45,1,0,0,0
ENVIGADO,2006-2,M,1,27,1,0,0,1
ENVIGADO,2008-1,F,1,23,1,0,0,1
ENVIGADO,2008-3,F,1,58,1,0,0,0
ENVIGADO,2009-3,M,1,45,1,0,0,0
ENVIGADO,2009-4,M,2,45,1,0,0,0
ENVIGADO,2010-1,M,1,32,1,0,0,0
ENVIGADO,2010-1,F,1,34,1,0,0,0
ENVIGADO,2011-4,M,1,61,1,0,0,0
ENVIGADO,2012-3,M,1,53,1,0,0,0
ENVIGADO,2012-4,F,1,18,1,0,0,1
ENVIGADO,2013-2,F,1,34,1,0,0,0
ENVIGADO,2013-3,M,1,41,1,0,0,0
ENVIGADO,2013-3,F,1,23,1,0,0,1
ENVIGADO,2014-2,F,1,null,1,0,0,null
ENVIGADO,2015-2,M,1,36,1,0,0,0
ENVIGADO,2015-3,M,1,60,1,0,0,0
ENVIGADO,2016-1,M,1,24,1,0,0,1
ENVIGADO,2016-4,M,1,43,1,0,0,0
ENVIGADO,2017-1,M,1,67,1,0,0,0
ENVIGADO,2017-4,M,1,22,1,0,0,1
ENVIGADO,2017-4,F,1,62,1,0,0,0
ENVIGADO,2018-2,M,1,54,1,0,0,0
ENVIGADO,2018-4,M,1,47,1,0,0,0
ENVIGADO,2019-1,F,1,19,1,0,0,1
ENVIGADO,2020-1,M,3,56,1,0,0,0
ENVIGADO,2022-4,M,1,19,1,0,0,1
ENVIGADO,2023-2,M,1,24,1,0,0,1
ENVIGADO,2023-3,M,1,42,1,0,0,0
ESTADIO,2000-2,F,1,19,1,1,0,1
ESTADIO,2005-2,F,2,25.5,1,1,0,1
ESTADIO,2007-2,M,1,17,1,1,0,1
ESTADIO,2008-2,M,1,23,1,1,0,1
ESTADIO,2010-2,F,1,22,1,1,0,1
ESTADIO,2012-4,M,1,25,1,1,0,1
ESTADIO,2016-3,F,1,22,1,1,0,1
ESTADIO,2017-3,M,1,49,1,1,0,0
ESTADIO,2017-4,M,1,24,1,1,0,1
ESTADIO,2018-1,M,1,17,1,1,0,1
ESTADIO,2018-1,F,1,31,1,1,0,0
ESTADIO,2020-4,F,1,41,1,1,0,0
ESTADIO,2021-2,F,1,19,1,1,0,1
ESTADIO,2022-2,M,1,43,1,1,0,0
ESTADIO,2022-2,F,1,34,1,1,0,0
ESTADIO,2022-4,F,1,15,1,1,0,1
ESTADIO,2023-1,F,1,50,1,1,0,0
EXPOSICIONES,2004-1,F,1,62,1,1,0,0
EXPOSICIONES,2004-2,F,2,62,1,1,0,0
EXPOSICIONES,2005-4,F,1,null,1,1,0,null
EXPOSICIONES,2007-1,M,2,41.5,1,1,0,0
EXPOSICIONES,2007-2,F,1,33,1,1,0,0
EXPOSICIONES,2007-4,F,1,54,1,1,0,0
EXPOSICIONES,2009-3,F,1,16,1,1,0,1
EXPOSICIONES,2010-2,M,1,27,1,1,0,1
EXPOSICIONES,2011-2,F,1,31,1,1,0,0
EXPOSICIONES,2011-3,M,1,null,1,1,0,null
EXPOSICIONES,2012-1,M,1,28,1,1,0,1
EXPOSICIONES,2012-3,M,1,23,1,1,0,1
EXPOSICIONES,2013-1,F,1,27,1,1,0,1
EXPOSICIONES,2013-2,M,1,44,1,1,0,0
EXPOSICIONES,2013-3,M,1,24,1,1,0,1
EXPOSICIONES,2015-4,F,1,56,1,1,0,0
EXPOSICIONES,2017-2,M,1,47,1,1,0,0
EXPOSICIONES,2018-3,M,1,34,1,1,0,0
EXPOSICIONES,2018-4,M,1,28,1,1,0,1
EXPOSICIONES,2019-1,F,1,36,1,1,0,0
EXPOSICIONES,2020-1,M,1,20,1,1,0,1
EXPOSICIONES,2021-2,M,1,35,1,1,0,0
EXPOSICIONES,2021-4,M,1,26,1,1,0,1
EXPOSICIONES,2022-2,M,1,33,1,1,0,0
EXPOSICIONES,2022-2,F,1,24,1,1,0,1
EXPOSICIONES,2022-3,M,1,17,1,1,0,1
EXPOSICIONES,2022-4,F,1,25,1,1,0,1
EXPOSICIONES,2022-4,M,1,19,1,1,0,1
EXPOSICIONES,2023-3,M,1,37,1,1,0,0
FLORESTA,2004-2,F,1,62,1,1,0,0
FLORESTA,2005-3,F,1,null,1,1,0,null
FLORESTA,2006-1,F,1,null,1,1,0,null
FLORESTA,2006-2,F,3,34.333333333333336,1,1,0,0.3333333333333333
FLORESTA,2006-4,F,1,40,1,1,0,0
FLORESTA,2007-3,M,1,31,1,1,0,0
FLORESTA,2009-1,M,1,70,1,1,0,0
FLORESTA,2009-3,M,1,23,1,1,0,1
FLORESTA,2010-1,M,1,25,1,1,0,1
FLORESTA,2010-3,M,1,43,1,1,0,0
FLORESTA,2014-2,F,1,19,1,1,0,1
FLORESTA,2015-4,M,1,19,1,1,0,1
FLORESTA,2016-1,M,1,17,1,1,0,1
FLORESTA,2016-1,F,1,34,1,1,0,0
FLORESTA,2017-3,M,1,26,1,1,0,1
FLORESTA,2018-1,M,1,14,1,1,0,1
FLORESTA,2020-4,F,1,26,1,1,0,1
FLORESTA,2021-2,M,1,34,1,1,0,0
FLORESTA,2022-1,F,1,20,1,1,0,1
FLORESTA,2022-3,M,1,26,1,1,0,1
FLORESTA,2023-1,F,1,19,1,1,0,1
HOSPITAL,1997-2,F,1,24,1,1,0,1
HOSPITAL,2004-4,F,1,26,1,1,0,1
HOSPITAL,2005-2,M,1,46,1,1,0,0
HOSPITAL,2005-3,F,3,15,1,1,0,1
HOSPITAL,2005-4,M,1,67,1,1,0,0
HOSPITAL,2005-4,F,3,34,1,1,0,0
HOSPITAL,2007-4,M,1,73,1,1,0,0
HOSPITAL,2008-2,M,1,21,1,1,0,1
HOSPITAL,2009-3,F,1,44,1,1,0,0
HOSPITAL,2009-4,F,2,29,1,1,0,0.5
HOSPITAL,2010-1,F,1,null,1,1,0,null
HOSPITAL,2010-2,F,1,29,1,1,0,1
HOSPITAL,2010-3,F,1,null,1,1,0,null
HOSPITAL,2010-4,M,1,null,1,1,0,null
HOSPITAL,2011-2,F,1,19,1,1,0,1
HOSPITAL,2011-4,M,1,40,1,1,0,0
HOSPITAL,2013-2,M,1,77,1,1,0,0
HOSPITAL,2013-3,F,1,null,1,1,0,null
HOSPITAL,2015-3,M,1,48,1,1,0,0
HOSPITAL,2015-4,F,1,42,1,1,0,0
HOSPITAL,2016-1,F,2,48,1,1,0,0
HOSPITAL,2016-3,M,1,23,1,1,0,1
HOSPITAL,2016-4,F,1,87,1,1,0,0
HOSPITAL,2017-2,M,1,33,1,1,0,0
HOSPITAL,2017-2,F,1,49,1,1,0,0
HOSPITAL,2017-3,F,2,24,1,1,0,1
HOSPITAL,2017-4,M,2,31,1,1,0,0.5
HOSPITAL,2018-1,F,1,19,1,1,0,1
HOSPITAL,2018-4,F,1,null,1,1,0,null
HOSPITAL,2019-2,M,1,23,1,1,0,1
HOSPITAL,2019-4,M,1,26,1,1,0,1
HOSPITAL,2021-2,M,1,60,1,1,0,0
HOSPITAL,2021-3,F,1,21,1,1,0,1
HOSPITAL,2021-4,F,1,15,1,1,0,1
HOSPITAL,2022-1,M,1,35,1,1,0,0
HOSPITAL,2022-2,M,4,29,1,1,0,0.5
HOSPITAL,2022-2,F,2,43.5,1,1,0,0.5
HOSPITAL,2022-3,F,3,26.333333333333332,1,1,0,0.6666666666666666
HOSPITAL,2022-3,M,1,24,1,1,0,1
HOSPITAL,2022-4,F,1,25,1,1,0,1
HOSPITAL,2023-2,M,1,42,1,1,0,0
HOSPITAL,2023-3,F,2,28,1,1,0,0.5
INDUSTRIALES,1998-1,F,1,40,1,0,0,0
INDUSTRIALES,1998-1,M,1,9,1,0,0,1
INDUSTRIALES,2004-1,M,1,55,1,0,0,0
INDUSTRIALES,2005-2,F,1,25,1,0,0,1
INDUSTRIALES,2005-2,M,1,null,1,0,0,null
INDUSTRIALES,2005-3,F,1,45,1,0,0,0
INDUSTRIALES,2005-4,M,1,18,1,0,0,1
INDUSTRIALES,2005-4,F,1,18,1,0,0,1
INDUSTRIALES,2006-2,F,1,52,1,0,0,0
INDUSTRIALES,2007-3,F,1,53,1,0,0,0
INDUSTRIALES,2007-4,F,1,26,1,0,0,1
INDUSTRIALES,2007-4,M,1,25,1,0,0,1
INDUSTRIALES,2008-3,F,1,35,1,0,0,0
INDUSTRIALES,2009-1,M,1,42,1,0,0,0
INDUSTRIALES,2009-2,F,1,41,1,0,0,0
INDUSTRIALES,2010-1,F,1,46,1,0,0,0
INDUSTRIALES,2010-2,M,1,38,1,0,0,0
INDUSTRIALES,2010-2,F,1,51,1,0,0,0
INDUSTRIALES,2010-3,M,2,40.5,1,0,0,0
INDUSTRIALES,2010-3,F,1,28,1,0,0,1
INDUSTRIALES,2011-2,M,1,null,1,0,0,null
INDUSTRIALES,2013-2,M,1,54,1,0,0,0
INDUSTRIALES,2013-3,M,1,22,1,0,0,1
INDUSTRIALES,2013-4,F,1,42,1,0,0,0
INDUSTRIALES,2014-2,F,1,null,1,0,0,null
INDUSTRIALES,2015-2,M,1,31,1,0,0,0
INDUSTRIALES,2016-2,M,1,52,1,0,0,0
INDUSTRIALES,2017-1,M,1,52,1,0,0,0
INDUSTRIALES,2017-2,M,1,60,1,0,0,0
INDUSTRIALES,2017-4,M,1,23,1,0,0,1
INDUSTRIALES,2018-2,F,1,39,1,0,0,0
INDUSTRIALES,2018-2,M,3,23,1,0,0,0.6666666666666666
INDUSTRIALES,2018-3,M,1,50,1,0,0,0
INDUSTRIALES,2018-4,M,1,27,1,0,0,1
INDUSTRIALES,2019-1,M,2,30.5,1,0,0,0.5
INDUSTRIALES,2019-2,M,1,56,1,0,0,0
INDUSTRIALES,2019-3,M,1,23,1,0,0,1
INDUSTRIALES,2019-3,F,1,45,1,0,0,0
INDUSTRIALES,2020-2,F,1,54,1,0,0,0
INDUSTRIALES,2020-4,M,1,68,1,0,0,0
INDUSTRIALES,2021-4,F,1,22,1,0,0,1
INDUSTRIALES,2022-2,F,1,37,1,0,0,0
INDUSTRIALES,2022-2,M,2,32,1,0,0,0
INDUSTRIALES,2022-3,M,1,31,1,0,0,0
